profile,run_id,phase,sample_event,target_field,measured_at,operator_or_agent,instrument_id,value,unit,source_file_to_save_as,source_file_requirement,method_or_record_id,notes,pre_measurement,post_measurement,measurement_basis,calculation,swelling_fraction
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-28d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R1-42d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R2-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R2-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R2-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R2-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R2-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R2-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R2-28d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R2-28d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R2-42d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R2-42d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R3-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R3-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R3-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R3-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R3-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R3-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R3-28d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R3-28d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_laminin_only_control-R3-42d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_laminin_only_control-R3-42d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-28d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-28d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-42d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R1-42d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-28d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-28d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-42d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R2-42d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-0d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-0d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-7d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-7d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
nhi_long,NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-14d,L1,,swelling_fraction,,,,,,data/source_files/full/nhi_pedot_long/NHIPEDOT-LONG-L1-long_hydrogel_laminin_control-R3-14d/swelling_fraction_swelling_dimension_or_mass_worksheet.csv,,,,,,,,
