profile,run_id,phase,sample_event,target_field,source_class,source_file,source_dir,source_dir_status,source_file_exists,source_file_allowed,value_filled,import_ready,source_file_requirement,capture_instruction
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,charge_storage_capacity_final,electrochemical_or_mea_export,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/charge_storage_capacity_final_electrochemical_or_mea_export.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real charge_storage_capacity_final value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,charge_storage_capacity_initial,electrochemical_or_mea_export,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/charge_storage_capacity_initial_electrochemical_or_mea_export.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real charge_storage_capacity_initial value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,crosslinking_protocol,bench_or_chain_of_custody_record,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/crosslinking_protocol_bench_or_chain_of_custody_record.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real crosslinking_protocol value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,date,bench_or_chain_of_custody_record,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/date_bench_or_chain_of_custody_record.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real date value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,delamination_score,image_or_scoring_worksheet,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/delamination_score_image_or_scoring_worksheet.png,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real delamination_score value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,eis_1khz_final_ohm,electrochemical_or_mea_export,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/eis_1khz_final_ohm_electrochemical_or_mea_export.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real eis_1khz_final_ohm value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,eis_1khz_initial_ohm,electrochemical_or_mea_export,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/eis_1khz_initial_ohm_electrochemical_or_mea_export.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real eis_1khz_initial_ohm value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,electrode_material,bench_or_chain_of_custody_record,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/electrode_material_bench_or_chain_of_custody_record.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real electrode_material value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,hydrogel_matrix,bench_or_chain_of_custody_record,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/hydrogel_matrix_bench_or_chain_of_custody_record.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real hydrogel_matrix value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
nhi_forward,NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,H-B,,laminin_or_peptide_density,bench_or_chain_of_custody_record,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak/laminin_or_peptide_density_bench_or_chain_of_custody_record.csv,data/source_files/full/nhi_pedot_forward/NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak,already_exists,false,true,false,false,,"Enter the real laminin_or_peptide_density value for NHIPEDOT-H-B-hydrogel_laminin_control-R1-pre_soak, cite the raw source_file, then run the matching wide source-value importer."
