gate_id,candidate_id,sample_id,field,value,source_file,measured_at,operator_or_agent,instrument_id,notes
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.date,,data/source_files/bench_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_date_bench_or_chain_of_custody_record.csv,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.medium_name,,data/source_files/bench_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_name_bench_or_chain_of_custody_record.csv,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.medium_lot,,data/source_files/bench_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_medium_lot_bench_or_chain_of_custody_record.csv,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.temperature_c,,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_temperature_c_temperature_or_incubator_log.csv,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.mea_coupon_id,,data/source_files/build_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_mea_coupon_id_supplier_or_build_record.pdf,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.electrode_material,,data/source_files/build_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_electrode_material_supplier_or_build_record.pdf,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.laminin_or_peptide_density,,data/source_files/build_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_laminin_or_peptide_density_supplier_or_build_record.pdf,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,metadata.sterilization_or_aseptic_protocol,,data/source_files/build_records/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/metadata_sterilization_or_aseptic_protocol_supplier_or_build_record.pdf,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial.pH,,data/source_files/full/h_a/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_pH_pH_meter_export_or_photo.csv,,,,
h_a_medium_stability,no_coating_mea_control,NHIPEDOT-H-A-no_coating_mea_control-R1-0h,initial.osmolality,,data/nhi_pedot_h_a_vendor_return_inbox/external_lab_exports/NHIPEDOT-H-A-no_coating_mea_control-R1-0h/initial_osmolality_osmometer_report_or_export.pdf,,,,
