gate_id,gate_title,candidate_id,sample_id,field,value,source_file,measured_at,operator_or_agent,instrument_id,notes
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,final.conductivity,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,final.osmolality,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,final.pH,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,initial.conductivity,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,initial.osmolality,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,initial.pH,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.date,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.electrode_material,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.laminin_or_peptide_density,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.mea_coupon_id,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.medium_lot,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.medium_name,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.sterilization_or_aseptic_protocol,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,metadata.temperature_c,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,physical_inspection.delamination_score,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,physical_inspection.optical_transparency_fraction,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,physical_inspection.swelling_fraction,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,physical_inspection.visible_precipitate,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-0h,physical_inspection.visible_shedding,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,final.conductivity,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,final.osmolality,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,final.pH,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,initial.conductivity,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,initial.osmolality,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,initial.pH,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.date,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.electrode_material,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.laminin_or_peptide_density,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.mea_coupon_id,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.medium_lot,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.medium_name,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.sterilization_or_aseptic_protocol,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,metadata.temperature_c,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,physical_inspection.delamination_score,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,physical_inspection.optical_transparency_fraction,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,physical_inspection.swelling_fraction,,,,,,
h_a_medium_stability,H-A medium stability and physical integrity,challenge_nhi_pedot_high_loading,NHIPEDOT-H-A-challenge_nhi_pedot_high_loading-R1-24h,physical_inspection.visible_precipitate,,,,,,
